text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
RT @9GAG: #Halloween costume done right https://t.co/z6zworQBcq,FALSE,0,NA,2019-10-30T13:07:10Z,FALSE,NA,1189529176954437634,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",yourpriorityyy,8865,TRUE,FALSE,NA,NA
"RT @nic02life: ハロウィンメイクの動画UPしましたー！！
よかったら見てね🥰❤️

https://t.co/Ois2zZSFlf

#Halloween https://t.co/GI6nwamllW",FALSE,0,NA,2019-10-30T13:07:10Z,FALSE,NA,1189529175536746496,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",nic02life,10,TRUE,FALSE,NA,NA
RT @yuna_pang: #ハロウィン2019 #Halloween https://t.co/XGgj2Dwx8h,FALSE,0,NA,2019-10-30T13:07:10Z,FALSE,NA,1189529175008219136,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",kazuchi0310,319,TRUE,FALSE,NA,NA
RT @HubbubCatering: Not long now! We are ready and still taking bookings for Halloween. Get in touch for some ghoulish food ideas. #Hallowe…,FALSE,0,NA,2019-10-30T13:07:10Z,FALSE,NA,1189529174815498240,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",boggster1234,1,TRUE,FALSE,NA,NA
"RT @neririh: 🎃🕸𝔱𝔯𝔦𝔠𝔨 𝔬𝔯 𝔱𝔯𝔢𝔞𝔱🦇👻
#Halloween https://t.co/CyWB3OfJZV",FALSE,0,NA,2019-10-30T13:07:10Z,FALSE,NA,1189529174626557952,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",bugutown,163,TRUE,FALSE,NA,NA
"RT @voicestars_PR: ✨#Disney #声の王子様 ✨
 最新作キャスト陣から
 🎃#Halloween スペシャルカードが到着🎃

#橋本祥平 さんがもし
#ディズニー キャラクターに仮装するなら…!?🎶

🍬👑声の王子様👑CD発売中🍬
　https://t…",FALSE,0,NA,2019-10-30T13:07:10Z,FALSE,NA,1189529173892579329,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",kabutanso,528,TRUE,FALSE,NA,NA
"RT @MadonnaLily0701: trick or champagne🍾

※某コンビニ、□ーソンにて可愛さに負けて購入♪

#HALLOWEEN
#ガールズバー
#池袋北口
#シャンパン飲みたい
#今日も元気 https://t.co/XjWB9RRY16",FALSE,0,NA,2019-10-30T13:07:09Z,FALSE,NA,1189529173452193792,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",rs_madonnalily,1,TRUE,FALSE,NA,NA
RT @NintendoHall: Mario Kart Tour: Re Boo di #LuigisMansion è ora nel tubo in evidenza di #Halloween https://t.co/4F2DEdechR #LuigisMansion…,FALSE,0,NA,2019-10-30T13:07:09Z,FALSE,NA,1189529169560002560,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",LyndisFEWarrior,5,TRUE,FALSE,NA,NA
"RT @O_ha08: #Halloween 

펌킨 옵젝 좋아해주셔서 감사합니다....이건 안올리려고 했던것..ㅠㅠㅋㅋㅋㅋ https://t.co/AAmfxdaTeq",FALSE,0,NA,2019-10-30T13:07:08Z,FALSE,NA,1189529169094311936,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Mont_Blanc__02,51,TRUE,FALSE,NA,NA
"RT @Park_Jihoon_twt: [#박지훈]

투투🐰의 Halloween ASMR이 내일 오후 6시에 진행됩니다👏🏻👏🏻
할로윈 저녁엔 지훈이와 함께해요😀

✔️ https://t.co/nSNvyPPUdH

#박지훈 #지훈 #ParkJihoon…",FALSE,0,NA,2019-10-30T13:07:08Z,FALSE,NA,1189529168633061376,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",winknoona_o,4914,TRUE,FALSE,NA,NA
"RT @D0B_2O65: #Halloween  {싫어 호박약 줄거에요) 
                   く|)へ
                      〉 
          ￣￣┗┓     의사선생님 딸기약...        …",FALSE,0,NA,2019-10-30T13:07:08Z,FALSE,NA,1189529167827570689,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",medicne_cold,2498,TRUE,FALSE,NA,NA
"RT @ianfjames: #RT Please
Spooky #Halloween stories a more... a short collection.
🔗https://t.co/NAwV2CYYH7
#Scary #Horror #Nightmare #Stori…",FALSE,0,NA,2019-10-30T13:07:08Z,FALSE,NA,1189529167731183617,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",EricDisney2,75,TRUE,FALSE,NA,NA
"私たち一家をよろしくお願いしまーす🙏

#浜松市動物園
#レッサーパンダ
#lesserpanda
#redpanda
#子熊猫
#ハロウィン   
#Halloween https://t.co/C44yNfKoKK",FALSE,0,NA,2019-10-30T13:07:07Z,FALSE,NA,1189529163876560897,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1981kt,0,FALSE,FALSE,NA,NA
RT @9GAG: #Halloween costume done right https://t.co/z6zworQBcq,FALSE,0,NA,2019-10-30T13:07:07Z,FALSE,NA,1189529163553742848,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",BorgoniaMitzi_,8865,TRUE,FALSE,NA,NA
"RT @HoldHQ: WIN $1,000 in Bitcoin!💰

Our #Halloween #FuriousWednesday is here to treat you with another $1,000! 👻🍬

Follow us, RT this post…",FALSE,0,NA,2019-10-30T13:07:07Z,FALSE,NA,1189529163532849153,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",crypto_kheese,196,TRUE,FALSE,NA,NA
RT @LKPChildrens: Trick or treat?! We're giving away two copies of Jason Ford's spooktastic #MonsterBookofZombies to celebrate #Halloween.…,FALSE,0,NA,2019-10-30T13:07:07Z,FALSE,NA,1189529162303856640,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0LoyLakes,38,TRUE,FALSE,NA,NA
"RT @cary_GGEZ: Happy Halloween!! 2019 
.
#halloween #halloween2019
#DevilMayCry #dmc5 #DevilMayCry5 #spardacase #NeroV #DanteVergil #DanVer…",FALSE,0,NA,2019-10-30T13:07:07Z,FALSE,NA,1189529161708265472,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",6Novize9,125,TRUE,FALSE,NA,NA
RT @HalloweenCounts: 1 Day Until #Halloween 🎃,FALSE,0,NA,2019-10-30T13:07:07Z,FALSE,NA,1189529161645350912,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Toxicanimal,967,TRUE,FALSE,NA,NA
"미리 👻해피 #Halloween 🧡🦇이다
연준아.. https://t.co/QwK9IuxUWZ",FALSE,0,NA,2019-10-30T13:07:06Z,FALSE,NA,1189529160621838336,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",943platform,0,FALSE,FALSE,NA,NA
"RT @PAHealthDept: #Halloween is almost here 🎃! Keep kids safe while trick-or-treating:
👻 add reflective material to costume 
🤡 use non-toxi…",FALSE,0,NA,2019-10-30T13:07:06Z,FALSE,NA,1189529160261296128,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",PaHouseDems,4,TRUE,FALSE,NA,NA
"RT @amolla_0220: #Halloween             🎅
                  ( ง )ง       ୧( ୧ )
                  /︶\           /︶\
할로윈 싼타한테 지지마 12월이 못오게 만…",FALSE,0,NA,2019-10-30T13:07:06Z,FALSE,NA,1189529159141224451,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",drive_allnight,6328,TRUE,FALSE,NA,NA
"RT @EdMalaker: https://t.co/OAC6fR6kOV … … …

Our original Halloween song
#Halloween #halloween2019 #HalloweenCountdown #HALLOWEENPARTY #ho…",FALSE,0,NA,2019-10-30T13:07:06Z,FALSE,NA,1189529158868713477,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",rwyjunior,1,TRUE,FALSE,NA,NA
"RT @MuzikbyOz: ‘[Edit.2019] HalloWine "" T'es une P. "" By Oz aka Muzik By Oz’ sur #SoundCloud #np https://t.co/KDDZAwIZMJ @Soundcloud @Muzik…",FALSE,0,NA,2019-10-30T13:07:06Z,FALSE,NA,1189529157996335104,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",MuzikbyOz,1,TRUE,FALSE,NA,NA
RT @HertsPolice: 🧙‍ Tomorrow is #Halloween and young people can win tickets to @wbtourlondon in #Leavesden or @360PlayST by taking part in…,FALSE,0,NA,2019-10-30T13:07:06Z,FALSE,NA,1189529156993896450,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",TheKitZone,2,TRUE,FALSE,NA,NA
"RT @JenniferRStorm: Trick or Treat. 
Before you judge the older kids knocking on your door-✋🏽Try to understand this could be the 1st chance…",FALSE,0,NA,2019-10-30T13:07:05Z,FALSE,NA,1189529156603842560,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",el_manels,15,TRUE,FALSE,NA,NA
RT @nudinits: Barbara didn't fancy sitting on hard wood #Halloween #halloween2019 https://t.co/ewsMjil8d1,FALSE,0,NA,2019-10-30T13:07:05Z,FALSE,NA,1189529155538477056,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",fleicgirl,1,TRUE,FALSE,NA,NA
RT @papaya__k: #Halloween 🎃 https://t.co/cIFBkgNAT4,FALSE,0,NA,2019-10-30T13:07:04Z,FALSE,NA,1189529150924607492,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",mmpy1710,4,TRUE,FALSE,NA,NA
"RT @unknowdata_p: 🎃👻Happy Halloween👻🎃
TRICK OR TREAT with 夕美ちゃん #Halloween  #ハロウィン https://t.co/6PNfu9N3iC",FALSE,0,NA,2019-10-30T13:07:03Z,FALSE,NA,1189529147850162176,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",hj2_at,43,TRUE,FALSE,NA,NA
RT @kasa1412: #Halloween https://t.co/F8D31EiBYD,FALSE,0,NA,2019-10-30T13:07:03Z,FALSE,NA,1189529146512138241,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Salt_yan,16,TRUE,FALSE,NA,NA
"RT @Gr3Te4rights: #Halloween #WednesdayVibes sending our love to you, enjoy this lovely day! 🍂 https://t.co/C2oCrjcfOl",FALSE,0,NA,2019-10-30T13:07:03Z,FALSE,NA,1189529146256429059,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",janet_yackle,1,TRUE,FALSE,NA,NA
"RT @PAHealthDept: #Halloween is almost here 🎃! Keep kids safe while trick-or-treating:
👻 add reflective material to costume 
🤡 use non-toxi…",FALSE,0,NA,2019-10-30T13:07:03Z,FALSE,NA,1189529145765707776,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",SecretaryLevine,4,TRUE,FALSE,NA,NA
RT @Fuck__U_J: #Halloween 해피 할로윈이다. 사탕 좀 사봤으니까 빨리 홍보해. 한 명 뽑아서 줄 거야. 팔로 안 한 사람도 상관 없어. https://t.co/3trYtfUdrK,FALSE,0,NA,2019-10-30T13:07:02Z,FALSE,NA,1189529142473084929,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Ra_ppu,949,TRUE,FALSE,NA,NA
Demain c'est #Halloween!🎃Ça annonce donc la fin du mois d'octobre! Alors dépêchez-vous d'aller lire ou relire notre… https://t.co/DtAejFI32o,FALSE,0,NA,2019-10-30T13:07:02Z,TRUE,NA,1189529141160357892,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",impacts_media,0,FALSE,FALSE,NA,NA
RT @minibambam97: เจ้าพวกก้อน 7  #Halloween #GOT7 @GOT7Official https://t.co/chpvzltFBc,FALSE,0,NA,2019-10-30T13:07:01Z,FALSE,NA,1189529139398660096,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",bam02_,1407,TRUE,FALSE,NA,NA
"RT @mattbc: By helping to make trick-or-treating accessible to more kids, the #TealPumpkinProject is my favorite part of #Halloween. 

http…",FALSE,0,NA,2019-10-30T13:07:01Z,FALSE,NA,1189529137305870336,NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",mattbc,18,TRUE,FALSE,NA,NA
"RT @karterhol: You've been asking for it... so here you go: #varchie 🥰😍🥰 Even against the backdrop of a terrifying #Halloween, these two fi…",FALSE,0,NA,2019-10-30T13:07:01Z,FALSE,NA,1189529136911605761,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",HaileyWigger,97,TRUE,FALSE,NA,NA
RT @Fuck__U_J: #Halloween 해피 할로윈이다. 사탕 좀 사봤으니까 빨리 홍보해. 한 명 뽑아서 줄 거야. 팔로 안 한 사람도 상관 없어. https://t.co/3trYtfUdrK,FALSE,0,NA,2019-10-30T13:07:01Z,FALSE,NA,1189529136353566720,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Phya_Pripara,949,TRUE,FALSE,NA,NA
"RT @Arie_SwAl: #アルティメットハロウィン2019 
ありがとうございました🎃❤️

魔女の宅急便のキキちゃんの #仮装 をしたよ〜♪
ポシェットから油そばが出る魔法を使えます🧸🔯

明日も渋谷duoにて《31日㈭20:15~20:30》違う仮装をします！お楽しみ…",FALSE,0,NA,2019-10-30T13:06:59Z,FALSE,NA,1189529130988998656,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",koinushisyo,12,TRUE,FALSE,NA,NA
"RT @7UwYTdqs4R3ClNI: #Halloween 
はっぴーはろういーん
包帯人間だよー https://t.co/etJuRZd4Le",FALSE,0,NA,2019-10-30T13:06:59Z,FALSE,NA,1189529130926313472,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",hiyvyi,7,TRUE,FALSE,NA,NA
"RT @EdinPolSW: If you do not wish any #Halloween⁠ ⁠guisers, print off this handy sign &amp; place in your window or door.

If you see this sign…",FALSE,0,NA,2019-10-30T13:06:59Z,FALSE,NA,1189529130737524739,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Official999Day,1,TRUE,FALSE,NA,NA
"Our #Halloween strand concludes tomorrow with a long-form diamond by @rboucheron

Then, on Nov 1st, we have our Big… https://t.co/BhAGWQHsnH",FALSE,0,NA,2019-10-30T13:06:59Z,TRUE,NA,1189529129575735296,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",lunatefiction,0,FALSE,FALSE,NA,NA
"RT @Hanyo_ovo_: #Halloween 

마음눌러도 호박이 뜨지않아 슬픈분만 알티할수잇습니다.,",FALSE,0,NA,2019-10-30T13:06:59Z,FALSE,NA,1189529128824799233,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AgainMelody,30673,TRUE,FALSE,NA,NA
"RT @Scotland: Vampires, grave robbers, witches.. Scotland has it all 🧛‍♂️🎃👻 #ScotlandIsNow #VisitScotland #Halloween #Spooky https://t.co/4…",FALSE,0,NA,2019-10-30T13:06:58Z,FALSE,NA,1189529126014738433,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",whozawitch,1,TRUE,FALSE,NA,NA
"RT @Sportsnet: Sam Darnold isn't the only one seeing ghosts this week.

To celebrate #Halloween, the latest NFL Power Rankings look at some…",FALSE,0,NA,2019-10-30T13:06:58Z,FALSE,NA,1189529125733752838,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",creynolds094,1,TRUE,FALSE,NA,NA
"RT @D0B_2O65: #Halloween  {싫어 호박약 줄거에요) 
                   く|)へ
                      〉 
          ￣￣┗┓     의사선생님 딸기약...        …",FALSE,0,NA,2019-10-30T13:06:58Z,FALSE,NA,1189529124924092416,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Madlighting_013,2498,TRUE,FALSE,NA,NA
RT @sohananas1: Les gars j'ai besoin de 10k rt pour gagner une play. Si chaqu'un retweet tout les tweets on aura tous une play. Silvousplai…,FALSE,0,NA,2019-10-30T13:06:58Z,FALSE,NA,1189529124907487232,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",enola_cgb,15,TRUE,FALSE,NA,NA
RT @9GAG: #Halloween costume done right https://t.co/z6zworQBcq,FALSE,0,NA,2019-10-30T13:06:58Z,FALSE,NA,1189529123665760256,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",singh9678,8865,TRUE,FALSE,NA,NA
"RT @hikvisionphil: Happy #Halloween from #HikvisionPhilippines 👻👻👻! Make sure to watch out for our big surprise today at 1:00PM! 
 - 
Follo…",FALSE,0,NA,2019-10-30T13:06:58Z,FALSE,NA,1189529123292450816,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",john_nicolas24,2,TRUE,FALSE,NA,NA
"RT @Y0101photo: Shibuya Halloween 🎃 

#Halloween
#shibuya
#写真が好きだ人と繋がりたい
#ファインダー越しの私の世界
#今日もx日和
#渋谷ハロウィン https://t.co/aIhCKIOpYj",FALSE,0,NA,2019-10-30T13:06:57Z,FALSE,NA,1189529123049226241,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",kenken_portrait,1,TRUE,FALSE,NA,NA
"…ローレンHalloween クッキー🍪🎃👻🦇

#halloween #クッキー #🍪#🎃#👻#🦇#cookie https://t.co/ORqI0DOOKt",FALSE,0,NA,2019-10-30T13:06:57Z,FALSE,NA,1189529122848018433,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",taropapa16,0,FALSE,FALSE,NA,NA
RT @sima71433237: #イラスト #スヌーピー #ハロウィン #illustration #Snoopy #Halloween https://t.co/wko9zeWsSw,FALSE,0,NA,2019-10-30T13:06:57Z,FALSE,NA,1189529122709467136,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",taira_yamamori,2,TRUE,FALSE,NA,NA
RT @ITISAC: October = #PSL + #Halloween + National Cybersecurity Awareness Month. What are you doing to keep the internet safer and more se…,FALSE,0,NA,2019-10-30T13:06:57Z,FALSE,NA,1189529122084655104,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NCI_ISACs,1,TRUE,FALSE,NA,NA
RT @minibambam97: เจ้าพวกก้อน 7  #Halloween #GOT7 @GOT7Official https://t.co/chpvzltFBc,FALSE,0,NA,2019-10-30T13:06:57Z,FALSE,NA,1189529121761587201,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ppptlh,1407,TRUE,FALSE,NA,NA
RT @Fuck__U_J: #Halloween 해피 할로윈이다. 사탕 좀 사봤으니까 빨리 홍보해. 한 명 뽑아서 줄 거야. 팔로 안 한 사람도 상관 없어. https://t.co/3trYtfUdrK,FALSE,0,NA,2019-10-30T13:06:57Z,FALSE,NA,1189529119668633600,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",lin_cos__,949,TRUE,FALSE,NA,NA
RT @sternshow: #Halloween is only a day away and no one is as prepared as @cwotd who began celebrating after Labor Day. #Howard100 https://…,FALSE,0,NA,2019-10-30T13:06:57Z,FALSE,NA,1189529119043796992,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",AlScaraniJr,4,TRUE,FALSE,NA,NA
RT @muyinteresante: ¡Feliz #Halloween! Os proponemos unos cuantos clásicos de la literatura de terror para pasar el Día de los Muertos. htt…,FALSE,0,NA,2019-10-30T13:06:56Z,FALSE,NA,1189529118070759426,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AZWarlock_2,12,TRUE,FALSE,NA,NA
RT @MeanwhileinCana: You know you're Canadian if:  You make sure your child's Halloween costume can fit over at least two layers of clothes…,FALSE,0,NA,2019-10-30T13:06:56Z,FALSE,NA,1189529118066393088,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",fbcoach1116,60,TRUE,FALSE,NA,NA
RT @sarasheridan: Dressing up for #Halloween? Here are pics of Bonnie Prince Charlie in drag. Yes he was disguised for escape. No he wasn't…,FALSE,0,NA,2019-10-30T13:06:55Z,FALSE,NA,1189529114555879424,NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>",laureleena,3,TRUE,FALSE,NA,NA
"Should I dress up like my girlfriend or like her new boyfriend?

Dilemma #1: Trick or treat?
Dilemma #2: What shoul… https://t.co/c4MDJsaURS",FALSE,0,NA,2019-10-30T13:06:55Z,TRUE,NA,1189529114283143168,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",chill_scenes,0,FALSE,FALSE,NA,NA
